WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
Png,N,N,N,3,4,2,0,N
send,V,V,V,0,3,0,0,V
Serial,NM,NM,NM,1,3,1,0,NM
Config,N,N,N,2,3,2,0,N
send,V,V,V,0,2,0,0,V
String,N,N,N,1,2,2,0,N
session,NM,N,N,0,2,0,0,NM
Config,N,N,N,1,2,2,0,N
Set,V,V,V,0,4,0,0,V
Add,NM,N,V,1,4,1,0,V
Faces,NM,N,N,2,4,1,0,NM
Points,N,N,N,3,4,2,0,NPL
set,V,V,V,0,4,0,0,V
Canonical,NM,NM,N,1,4,1,0,NM
Mention,NM,N,N,2,4,1,0,NM
Begin,N,N,N,3,4,2,0,N
set,V,V,V,0,5,0,0,V
Custom,NM,NM,N,1,5,1,0,NM
Uniform,NM,NM,N,2,5,1,0,N
1,D,NM,D,3,5,1,0,D
f,N,N,N,4,5,2,0,NM
set,V,V,V,0,3,0,0,V
Destructor,NM,N,N,1,3,1,0,NM
Callback,N,N,N,2,3,2,0,N
set,V,V,V,0,3,0,0,V
Display,NM,N,V,1,3,1,0,NM
Index,N,N,N,2,3,2,0,N
set,V,V,V,0,3,0,0,V
Extra,NM,NM,N,1,3,1,0,NM
Interfaces,N,N,NPL,2,3,2,0,NPL
set,V,V,V,0,3,0,0,V
Frame,NM,N,N,1,3,1,0,NM
Pen,N,N,N,2,3,2,0,N
set,V,V,V,0,2,0,0,V
Invert,N,N,N,1,2,2,0,N
set,V,V,V,0,4,0,0,V
Layer,NM,N,N,1,4,1,0,NM
Texture,NM,N,N,2,4,1,0,NM
Name,N,N,N,3,4,2,0,N
set,V,V,V,0,4,0,0,V
Project,NM,N,N,1,4,1,0,NM
Naming,NM,NM,N,2,4,1,0,NM
Strategy,N,N,N,3,4,2,0,N
set,V,V,V,0,2,0,0,V
Tiling,N,N,N,1,2,2,0,N
setup,V,N,N,0,4,0,0,V
Bounding,NM,N,V,1,4,1,0,NM
Box,NM,N,N,2,4,1,0,NM
Vertices,N,N,NPL,3,4,2,0,NPL
sha256,V,N,V,0,2,0,0,NM
hash,D,V,NM,1,2,2,0,N
shader,NM,FAILURE,V,0,5,0,0,NM
data,NM,FAILURE,NPL,1,5,1,0,NPL
to,NM,FAILURE,P,2,5,1,0,P
shader,NM,FAILURE,V,3,5,1,0,NM
globals,N,FAILURE,NPL,4,5,2,0,NPL
silk,NM,N,N,0,4,0,0,NM
bw,NM,N,N,1,4,1,0,NM
expander,N,N,N,2,4,1,0,N
32,D,NM,D,3,4,2,0,D
simulate,V,V,V,0,2,0,0,V
GC,N,N,N,1,2,2,0,N
skip,V,V,V,0,4,0,0,V
Whitespace,NM,N,N,1,4,1,0,N
And,NM,N,CJ,2,4,1,0,CJ
Commas,N,N,N,3,4,2,0,NPL
speaker,N,N,N,0,1,0,0,N
split,V,V,V,0,3,0,0,V
Argument,NM,N,N,1,3,1,0,NM
List,N,N,N,2,3,2,0,N
sqlite3,V,N,V,0,3,0,0,PRE
session,D,N,N,1,3,1,0,N
config,NM,N,N,2,3,2,0,V
sqlite3,V,V,V,0,4,0,0,PRE
Walk,D,N,V,1,4,1,0,V
Expr,NM,N,N,2,4,1,0,NM
List,NM,FAILURE,N,3,4,2,0,N
start,V,V,V,0,4,0,0,V
Matched,NM,NM,N,1,4,1,0,NM
Count,NM,N,N,2,4,1,0,N
Dec,N,N,N,3,4,2,0,V
status,NM,N,N,0,2,0,0,NM
Icon,N,N,N,1,2,2,0,N
stmt,V,V,V,0,2,0,0,N
Close,N,FAILURE,N,1,2,2,0,V
str,V,N,V,0,3,0,0,NM
array,NM,N,N,1,3,1,0,NM
len,N,N,N,2,3,2,0,N
strip,V,V,V,0,3,0,0,V
Left,NM,NM,V,1,3,1,0,NM
Recursion,N,N,N,2,3,2,0,N
Stroke,V,N,N,0,4,0,0,NM
Attribute,NM,N,N,1,4,1,0,NM
alpha,NM,N,N,2,4,1,0,N
get,N,V,V,3,4,2,0,V
target,N,N,V,0,2,0,0,N
Started,P,V,V,1,2,2,0,V
TEGRA,V,V,N,0,3,0,0,PRE
MORPH,NM,N,N,1,3,1,0,N
INIT,N,FAILURE,N,2,3,2,0,V
tessellate,V,V,V,0,3,0,0,V
To,P,P,P,1,3,1,0,P
Mesh,N,N,V,2,3,2,0,N
throw,V,V,V,0,6,0,0,V
Provision,NM,N,N,1,6,1,0,NM
Exception,NM,N,N,2,6,1,0,N
If,NM,N,P,3,6,1,0,CJ
Errors,NM,N,N,4,6,1,0,NPL
Exist,N,N,N,5,6,2,0,V
TIFF,NM,N,V,0,3,0,0,NM
Current,NM,N,NM,1,3,1,0,NM
Tile,N,V,N,2,3,2,0,N
TIFF,NM,V,N,0,4,0,0,NM
Get,V,NM,V,1,4,1,0,V
Size,NM,N,N,2,4,1,0,NM
Proc,N,FAILURE,N,3,4,2,0,N
tool,V,V,N,0,3,0,0,NM
View,NM,N,N,1,3,1,0,NM
Position,N,N,N,2,3,2,0,N
training,V,N,N,0,2,0,0,NM
Examples,N,N,NPL,1,2,2,0,NPL
transform,V,V,V,0,2,0,0,V
Path,N,N,N,1,2,2,0,N
two,NM,NM,D,0,3,0,0,NM
Factor,NM,N,N,1,3,1,0,NM
Response,N,N,N,2,3,2,0,N
uncompress,NM,V,V,0,3,0,0,V
If,N,N,P,1,3,1,0,CJ
Needed,P,V,N,2,3,2,0,V
unload,V,V,V,0,2,0,0,V
Textures,N,N,NPL,1,2,2,0,NPL
unpack,V,V,V,0,4,0,0,V
texture,NM,N,N,1,4,1,0,NM
Blend,NM,N,N,2,4,1,0,NM
Func,N,N,N,3,4,2,0,N
update,V,V,V,0,3,0,0,V
Mouse,NM,N,N,1,3,1,0,NM
Pos,N,N,N,2,3,2,0,N
url,V,FAILURE,V,0,3,0,0,N
From,P,FAILURE,P,1,3,1,0,P
Json,N,FAILURE,N,2,3,2,0,N
V,PRE,NM,N,0,3,0,0,PRE
URL,V,N,N,1,3,1,0,N
Encode,N,V,N,2,3,2,0,V
validate,V,V,V,0,3,0,0,V
Class,NM,N,N,1,3,1,0,NM
Rules,N,N,N,2,3,2,0,NPL
validate,V,V,V,0,5,0,0,V
Public,NM,NM,N,1,5,1,0,NM
Static,NM,NM,N,2,5,1,0,NM
Void,NM,NM,N,3,5,1,0,NM
Methods,N,N,NPL,4,5,2,0,NPL
verification,N,N,N,0,2,0,0,N
Started,P,V,V,1,2,2,0,V
verifier,NM,V,VM,0,3,0,0,N
get,N,N,V,1,3,1,0,V
mapping,V,FAILURE,N,2,3,2,0,N
visit,V,V,V,0,3,0,0,V
SIL,NM,NM,N,1,3,1,0,NM
Argument,N,N,N,2,3,2,0,N
widget,N,N,N,0,2,0,0,N
Destroyed,P,V,V,1,2,2,0,V
with,P,P,P,0,2,0,0,P
Charset,N,N,N,1,2,2,0,N
with,P,P,P,0,4,0,0,P
Cms,NM,N,N,1,4,1,0,NM
Leg,NM,N,N,2,4,1,0,NM
Rule,N,N,N,3,4,2,0,N
with,P,P,P,0,4,0,0,P
Market,NM,N,N,1,4,1,0,NM
Rate,NM,N,N,2,4,1,0,NM
Accuracy,N,N,N,3,4,2,0,N
with,NM,P,P,0,3,0,0,P
Rate,N,N,N,1,3,1,0,NM
Bound,P,N,V,2,3,2,0,N
with,P,P,P,0,4,0,0,P
Web,NM,N,N,1,4,1,0,NM
Socket,NM,N,N,2,4,1,0,NM
Upgrade,N,N,N,3,4,2,0,N
worker,NM,N,N,0,3,0,0,NM
Thread,NM,N,N,1,3,1,0,N
Wait,N,V,V,2,3,2,0,V
world,NM,FAILURE,N,0,3,0,0,N
To,NM,FAILURE,P,1,3,1,0,P
Screen,N,FAILURE,N,2,3,2,0,N
wrap,V,FAILURE,V,0,5,0,0,V
If,NM,FAILURE,P,1,5,1,0,CJ
Not,DT,FAILURE,VM,2,5,1,0,VM
Thread,NM,FAILURE,N,3,5,1,0,NM
Safe,N,FAILURE,N,4,5,2,0,N
write,V,V,V,0,3,0,0,V
Node,NM,N,N,1,3,1,0,NM
Materials,N,N,NPL,2,3,2,0,NPL
write,V,V,V,0,3,0,0,V
tcp,NM,N,NM,1,3,1,0,NM
data,N,N,NPL,2,3,2,0,N
x,PRE,N,N,0,2,0,0,NM
Tilt,V,V,N,1,2,2,0,N
